,Neighborhoods,Incident ID,Intersection,Street1,Street2,Latitude,Longitude,Incident Category,Incident Subcategory
13,108.0,655097,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Lost Property,Lost Property
14,108.0,680488,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Robbery,Robbery - Other
15,108.0,688940,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Larceny Theft,Larceny Theft - From Building
16,108.0,622661,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Larceny Theft,Larceny Theft - Other
17,108.0,688940,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Other Miscellaneous,Other
18,108.0,688932,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Larceny Theft,Larceny Theft - From Building
19,108.0,655312,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Non-Criminal,Other
20,108.0,812823,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Lost Property,Lost Property
21,108.0,688932,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Other Miscellaneous,Other
22,108.0,748971,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Larceny Theft,Larceny - From Vehicle
23,108.0,732637,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Arson,Arson
24,108.0,686084,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Larceny Theft,Larceny Theft - Shoplifting
25,108.0,699800,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Burglary,Burglary - Other
26,108.0,704718,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Lost Property,Lost Property
27,108.0,636250,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Larceny Theft,Larceny - From Vehicle
28,108.0,782695,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Case Closure,Case Closure
29,108.0,714642,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Larceny Theft,Larceny Theft - From Building
30,108.0,739604,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Miscellaneous Investigation,Miscellaneous Investigation
31,108.0,707759,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Stolen Property,Stolen Property
32,108.0,737638,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Larceny Theft,Larceny Theft - Shoplifting
33,108.0,710362,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Case Closure,Case Closure
34,108.0,708199,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Stolen Property,Stolen Property
35,108.0,739604,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Non-Criminal,Non-Criminal
36,108.0,745398,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Fraud,Fraud
37,108.0,725587,BUSH ST \ SANSOME ST,BUSH ST,SANSOME ST,37.7911771722094,-122.40074402274553,Other Miscellaneous,Other
